2024-09-11 08:12:30.488 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-09-11 08:12:30.488 [info] Added views:workbench.panel.output in workbench.panel.output
2024-09-11 08:12:30.488 [info] Added views:terminal in terminal
2024-09-11 08:12:30.488 [info] Added views:outline in workbench.view.explorer
2024-09-11 08:12:30.488 [info] Added views:workbench.scm in workbench.view.scm
2024-09-11 08:12:30.488 [info] Added views:workbench.view.search in workbench.view.search
2024-09-11 08:12:30.488 [info] Added views:timeline in workbench.view.explorer
2024-09-11 08:12:30.488 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-09-11 08:12:30.803 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-09-11 08:12:33.023 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-09-11 08:12:35.805 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-09-11 08:15:21.752 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-09-11 08:15:21.769 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2024-09-11 08:15:26.148 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-11 08:15:26.158 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-11 08:15:34.315 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-11 08:15:34.331 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-09-11 08:17:10.325 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-11 08:17:10.335 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-11 08:18:33.267 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-11 08:18:33.284 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-09-11 08:24:11.741 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-11 08:24:11.754 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-11 08:26:01.577 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-11 08:26:01.636 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-09-11 08:26:05.213 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-11 08:26:05.246 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-11 08:26:21.967 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-11 08:26:22.016 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-09-11 08:26:23.133 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-11 08:26:23.160 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-11 08:26:32.529 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-11 08:26:32.546 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-09-11 08:26:34.553 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-11 08:26:34.564 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-11 08:27:00.689 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-11 08:27:00.736 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-09-11 08:27:02.044 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-11 08:27:02.061 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-11 08:27:34.561 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-11 08:27:34.590 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
